Distrito,N° de Escuela,Matrícula Total,1° año - Alumnos,1° año - Sobreedad,1° año - Permanencia,1° año - Aprobados,2° año - Alumnos,2° año - Sobreedad,2° año - Permanencia,2° año - Aprobados,3° año - Alumnos,3° año - Sobreedad,3° año - Permanencia,3° año - Aprobados,4° año - Alumnos,4° año - Sobreedad,4° año - Permanencia,4° año - Aprobados,5° año - Alumnos,5° año - Sobreedad,5° año - Permanencia,5° año - Aprobados,6° año - Alumnos,6° año - Sobreedad,6° año - Permanencia,6° año - Aprobados,Aprobados en PDL (%),Aprobados en Matemática (%)
1_LA PLATA,EP N° 1423,309,51,0,0,51,52,4,2,50,40,4,2,38,43,4,3,40,52,4,2,50,71,5,3,68,97.46%,86.08%
2_A ALSINA,EP N° 165,175,29,0,0,29,28,1,1,27,30,1,1,29,28,0,1,27,33,3,0,33,27,0,1,26,92.57%,91.47%
2_A ALSINA,EP N° 223,271,37,0,0,37,51,4,1,50,45,0,4,41,49,5,2,47,42,1,0,42,47,3,2,45,94.24%,85.04%
2_A ALSINA,EP N° 356,524,98,0,0,98,71,3,3,68,82,1,1,81,92,5,1,91,96,6,3,93,85,4,3,82,93.89%,80.82%
3_ALBERTI,EP N° 156,124,24,0,0,24,17,1,1,16,18,0,1,17,22,0,1,21,21,1,1,20,22,1,1,21,98.18%,86.95%
3_ALBERTI,EP N° 200,287,47,0,0,47,49,5,0,49,47,4,1,46,53,4,3,50,46,4,2,44,45,4,2,43,98.87%,87.43%
3_ALBERTI,EP N° 359,214,39,0,0,39,31,1,2,29,33,3,2,31,38,1,3,35,39,2,3,36,34,2,0,34,97.68%,81.64%
4_A BROWN,EP N° 156,325,51,0,0,51,52,4,1,51,55,2,1,54,59,5,3,56,56,1,1,55,52,3,3,49,89.91%,82.11%
4_A BROWN,EP N° 209,176,33,0,0,33,29,2,0,29,32,0,2,30,30,2,0,30,26,3,2,24,26,5,1,25,90.27%,81.50%
4_A BROWN,EP N° 359,325,61,0,0,61,57,1,2,55,51,0,1,50,54,4,2,52,46,6,1,45,56,2,4,52,85.17%,97.46%
4_A BROWN,EP N° 446,227,37,0,0,37,37,0,1,36,37,3,2,35,39,2,1,38,40,0,0,40,37,5,2,35,91.38%,91.16%
4_A BROWN,EP N° 553,163,26,0,0,26,21,1,0,21,27,4,3,24,30,1,2,28,35,3,0,35,24,3,2,22,85.63%,80.47%
4_A BROWN,EP N° 678,472,93,0,0,93,77,10,1,76,65,8,3,62,95,8,3,92,66,1,4,62,76,6,9,67,98.95%,90.00%
4_A BROWN,EP N° 701,215,38,0,0,38,31,4,1,30,35,1,1,34,29,0,1,28,41,2,2,39,41,3,1,40,97.27%,87.26%
4_A BROWN,EP N° 823,295,50,0,0,50,54,4,1,53,52,3,1,51,37,4,1,36,55,3,2,53,47,5,4,43,87.06%,96.68%
4_A BROWN,EP N° 956,60,10,0,0,10,11,0,0,11,10,1,0,10,11,0,0,11,9,1,0,9,9,0,0,9,87.37%,85.01%
4_A BROWN,EP N° 1023,338,55,0,0,55,49,2,1,48,69,1,3,66,56,4,0,56,55,5,2,53,54,2,1,53,90.19%,88.72%
4_A BROWN,EP N° 1125,98,17,0,0,17,17,0,0,17,14,1,1,13,20,0,0,20,17,1,0,17,13,0,0,13,87.96%,85.89%
4_A BROWN,EP N° 1285,99,20,0,0,20,18,2,0,18,17,1,1,16,15,1,0,15,15,1,0,15,14,0,2,12,93.48%,84.27%
4_A BROWN,EP N° 1326,180,30,0,0,30,29,1,2,27,28,0,1,27,33,0,1,32,31,5,2,29,29,1,1,28,98.01%,90.02%
4_A BROWN,EP N° 1423,327,48,0,0,48,64,5,1,63,55,3,1,54,47,1,2,45,65,2,2,63,48,3,0,48,89.71%,82.42%
5_AVELLANEDA,EP N° 199,390,61,0,0,61,72,6,2,70,57,3,1,56,70,6,5,65,64,2,3,61,66,4,3,63,86.96%,94.31%
5_AVELLANEDA,EP N° 203,240,39,0,0,39,39,1,2,37,43,2,3,40,52,3,3,49,31,2,0,31,36,3,1,35,88.25%,96.19%
5_AVELLANEDA,EP N° 336,355,45,0,0,45,63,2,4,59,67,5,1,66,64,4,2,62,58,6,3,55,58,2,2,56,85.47%,90.26%
5_AVELLANEDA,EP N° 456,178,30,0,0,30,30,1,2,28,28,3,0,28,25,1,1,24,32,2,1,31,33,1,0,33,87.54%,96.35%
5_AVELLANEDA,EP N° 503,62,11,0,0,11,10,0,0,10,9,0,0,9,10,1,1,9,10,1,0,10,12,0,1,11,98.08%,96.66%
5_AVELLANEDA,EP N° 609,406,63,0,0,63,70,9,3,67,72,5,2,70,81,2,2,79,63,4,4,59,57,3,1,56,95.33%,88.14%
5_AVELLANEDA,EP N° 798,239,32,0,0,32,38,2,1,37,38,4,1,37,48,0,2,46,45,1,4,41,38,0,5,33,92.03%,90.72%
5_AVELLANEDA,EP N° 823,136,23,0,0,23,22,0,2,20,21,0,0,21,21,1,0,21,22,1,0,22,27,1,1,26,87.17%,83.27%
5_AVELLANEDA,EP N° 956,95,15,0,0,15,14,0,0,14,20,2,1,19,18,0,0,18,14,2,0,14,14,0,0,14,95.11%,95.40%
5_AVELLANEDA,EP N° 1003,358,57,0,0,57,68,5,1,67,64,0,0,64,57,2,0,57,62,3,4,58,50,4,1,49,88.63%,86.83%
5_AVELLANEDA,EP N° 1123,82,15,0,0,15,11,1,0,11,16,0,2,14,13,2,0,13,14,2,1,13,13,0,0,13,93.87%,84.64%
6_AYACUCHO,EP N° 1256,248,44,0,0,44,43,6,1,42,41,0,3,38,39,1,1,38,46,3,2,44,35,1,0,35,86.92%,96.20%
6_AYACUCHO,EP N° 1356,320,57,0,0,57,61,2,4,57,57,3,1,56,47,1,2,45,51,1,2,49,47,2,1,46,95.07%,85.35%
6_AYACUCHO,EP N° 1423,108,15,0,0,15,22,2,2,20,15,0,0,15,18,1,0,18,22,1,1,21,16,0,0,16,95.19%,88.92%
6_AYACUCHO,EP N° 165,200,40,0,0,40,35,3,1,34,30,1,1,29,30,4,0,30,32,4,1,31,33,4,1,32,96.29%,91.86%
7_AZUL,EP N° 223,115,20,0,0,20,20,0,0,20,19,0,1,18,19,3,0,19,16,2,2,14,21,3,0,21,97.07%,95.20%
7_AZUL,EP N° 356,385,60,0,0,60,64,2,0,64,60,1,2,58,73,2,1,72,57,3,3,54,71,7,2,69,88.26%,80.44%
7_AZUL,EP N° 156,100,16,0,0,16,18,3,1,17,15,1,0,15,18,2,2,16,15,1,1,14,18,0,0,18,89.96%,85.17%
7_AZUL,EP N° 200,147,22,0,0,22,24,1,1,23,25,1,2,23,27,4,1,26,24,2,0,24,25,2,1,24,88.23%,83.18%
8_B BLANCA,EP N° 359,316,50,0,0,50,51,4,1,50,64,5,1,63,51,5,1,50,56,4,2,54,44,1,3,41,88.72%,82.33%
8_B BLANCA,EP N° 156,332,53,0,0,53,55,1,1,54,63,3,1,62,50,1,1,49,61,4,0,61,50,3,2,48,96.55%,86.26%
8_B BLANCA,EP N° 209,464,74,0,0,74,84,4,4,80,73,6,4,69,78,6,4,74,77,5,3,74,78,3,4,74,97.21%,80.53%
8_B BLANCA,EP N° 359,251,42,0,0,42,48,1,2,46,37,4,1,36,42,3,0,42,42,3,1,41,40,3,1,39,98.48%,86.15%
8_B BLANCA,EP N° 446,299,53,0,0,53,51,1,4,47,47,2,2,45,51,1,2,49,57,1,3,54,40,6,4,36,95.50%,82.34%
8_B BLANCA,EP N° 553,459,76,0,0,76,71,3,7,64,94,5,2,92,81,6,1,80,72,2,3,69,65,7,1,64,91.05%,96.99%
8_B BLANCA,EP N° 678,382,76,0,0,76,54,3,1,53,62,6,1,61,64,2,0,64,53,5,1,52,73,8,1,72,97.16%,93.98%
8_B BLANCA,EP N° 701,365,60,0,0,60,61,2,0,61,66,7,2,64,56,1,0,56,66,5,2,64,56,1,2,54,88.77%,94.36%
8_B BLANCA,EP N° 823,88,16,0,0,16,13,0,0,13,16,1,0,16,12,1,1,11,15,0,2,13,16,0,0,16,93.65%,92.64%
8_B BLANCA,EP N° 956,235,41,0,0,41,42,1,1,41,30,0,0,30,36,2,1,35,39,4,0,39,47,0,3,44,85.73%,89.74%
9_BALCARCE,EP N° 1023,404,69,0,0,69,67,5,3,64,72,2,4,68,59,4,3,56,79,5,3,76,58,1,0,58,88.46%,82.87%
9_BALCARCE,EP N° 1125,232,40,0,0,40,41,3,1,40,36,2,2,34,39,1,2,37,39,0,0,39,37,4,2,35,95.40%,87.66%
9_BALCARCE,EP N° 1285,68,10,0,0,10,9,3,0,9,12,0,1,11,13,1,1,12,11,0,0,11,13,2,0,13,93.72%,91.37%
10_BARADERO,EP N° 1326,208,34,0,0,34,34,1,0,34,34,5,0,34,32,1,2,30,37,2,1,36,37,1,1,36,98.57%,84.65%
10_BARADERO,EP N° 1423,64,9,0,0,9,12,1,0,12,10,0,0,10,11,0,0,11,12,0,0,12,10,1,0,10,87.34%,83.02%
10_BARADERO,EP N° 199,247,48,0,0,48,40,3,2,38,41,1,0,41,38,2,3,35,38,0,0,38,42,2,1,41,85.58%,82.67%
10_BARADERO,EP N° 203,276,48,0,0,48,45,2,1,44,55,1,0,55,43,2,2,41,47,6,0,47,38,3,1,37,97.15%,83.19%
10_BARADERO,EP N° 336,402,66,0,0,66,64,4,2,62,65,6,2,63,71,3,3,68,71,4,3,68,65,11,0,65,98.68%,87.32%
10_BARADERO,EP N° 456,186,31,0,0,31,31,2,1,30,29,1,1,28,33,3,2,31,28,3,0,28,34,2,0,34,89.54%,86.60%
10_BARADERO,EP N° 503,424,69,0,0,69,67,3,1,66,57,2,0,57,92,6,2,90,86,4,4,82,53,0,1,52,90.32%,87.18%
11_ARRECIFES,EP N° 609,609,102,0,0,102,117,8,5,112,97,10,0,97,100,4,0,100,99,4,6,93,94,2,5,89,89.92%,81.83%
11_ARRECIFES,EP N° 798,66,11,0,0,11,10,1,0,10,10,0,0,10,10,0,0,10,13,0,1,12,12,1,0,12,92.94%,84.62%
11_ARRECIFES,EP N° 823,109,18,0,0,18,20,2,1,19,19,3,1,18,18,2,1,17,17,1,0,17,17,2,1,16,89.95%,84.26%
12_BOLIVAR,EP N° 956,187,34,0,0,34,29,2,0,29,35,2,1,34,26,2,2,24,32,1,0,32,31,2,1,30,88.25%,87.04%
12_BOLIVAR,EP N° 1003,283,42,0,0,42,56,8,0,56,38,2,2,36,51,4,5,46,45,2,0,45,51,1,3,48,87.69%,85.82%
12_BOLIVAR,EP N° 1123,199,28,0,0,28,33,0,2,31,29,1,1,28,34,2,0,34,36,1,1,35,39,2,0,39,92.87%,97.24%
12_BOLIVAR,EP N° 1256,303,57,0,0,57,48,1,1,47,53,4,1,52,48,3,2,46,46,7,3,43,51,3,3,48,92.29%,91.22%
12_BOLIVAR,EP N° 1356,271,47,0,0,47,49,4,2,47,48,0,1,47,44,1,3,41,41,3,1,40,42,3,1,41,97.87%,88.95%
12_BOLIVAR,EP N° 1423,16,3,0,0,3,2,0,0,2,3,0,0,3,3,0,0,3,3,0,1,2,2,0,0,2,86.86%,95.52%
12_BOLIVAR,EP N° 165,277,49,0,0,49,52,2,1,51,48,2,0,48,41,0,0,41,43,6,1,42,44,2,1,43,91.15%,81.90%
13_BRAGADO,EP N° 223,325,47,0,0,47,58,4,2,56,53,1,5,48,64,1,2,62,50,4,0,50,53,3,6,47,96.40%,91.07%
13_BRAGADO,EP N° 356,331,52,0,0,52,44,1,3,41,71,4,1,70,55,5,2,53,50,4,0,50,59,0,1,58,95.64%,82.47%
13_BRAGADO,EP N° 156,14,2,0,0,2,3,0,0,3,2,0,0,2,3,0,0,3,2,0,0,2,2,0,0,2,90.26%,87.10%
13_BRAGADO,EP N° 200,463,73,0,0,73,68,5,2,66,84,4,4,80,94,6,5,89,69,5,2,67,75,2,3,72,92.17%,92.24%
13_BRAGADO,EP N° 359,175,28,0,0,28,30,0,0,30,25,1,1,24,26,2,0,26,34,1,0,34,32,0,3,29,89.14%,93.85%
13_BRAGADO,EP N° 156,103,20,0,0,20,16,1,1,15,16,1,0,16,15,3,0,15,18,1,1,17,18,0,0,18,97.99%,84.04%
14_BRANDSEN,EP N° 209,372,58,0,0,58,51,3,2,49,65,6,2,63,64,3,3,61,65,5,2,63,69,6,3,66,95.87%,91.81%
14_BRANDSEN,EP N° 359,299,41,0,0,41,51,5,1,50,45,3,2,43,50,3,1,49,59,2,2,57,53,4,2,51,87.24%,88.31%
14_BRANDSEN,EP N° 446,321,51,0,0,51,47,4,0,47,63,4,1,62,55,3,3,52,52,4,0,52,53,4,1,52,98.41%,86.62%
15_CAMPANA,EP N° 553,163,26,0,0,26,30,6,0,30,26,1,1,25,28,1,0,28,31,2,0,31,22,2,0,22,93.23%,88.66%
15_CAMPANA,EP N° 678,441,66,0,0,66,72,5,2,70,88,6,4,84,81,3,4,77,64,1,1,63,70,6,3,67,96.04%,89.31%
15_CAMPANA,EP N° 701,129,22,0,0,22,21,0,0,21,17,1,1,16,20,1,1,19,28,0,0,28,21,1,1,20,87.58%,86.52%
16_CAÑUELAS,EP N° 823,337,68,0,0,68,52,2,4,48,63,6,3,60,54,2,3,51,57,1,0,57,43,3,1,42,91.12%,93.13%
16_CAÑUELAS,EP N° 956,197,34,0,0,34,29,3,1,28,34,5,0,34,32,1,0,32,32,4,0,32,36,2,2,34,85.92%,88.78%
16_CAÑUELAS,EP N° 1023,166,20,0,0,20,32,1,2,30,29,4,0,29,30,1,0,30,31,1,1,30,24,1,3,21,93.52%,86.29%
17_C CASARES,EP N° 1125,185,27,0,0,27,31,2,0,31,35,4,2,33,31,2,0,31,29,1,1,28,32,2,1,31,94.11%,89.82%
17_C CASARES,EP N° 1285,366,64,0,0,64,58,5,1,57,59,2,1,58,57,5,2,55,66,6,4,62,62,2,2,60,98.79%,93.90%
17_C CASARES,EP N° 1326,384,62,0,0,62,61,1,2,59,87,7,2,85,63,3,3,60,52,3,2,50,59,6,2,57,87.21%,92.53%
17_C CASARES,EP N° 1423,428,65,0,0,65,79,7,4,75,68,2,4,64,67,5,1,66,88,2,5,83,61,5,2,59,98.54%,87.52%
18_C TEJEDOR,EP N° 199,147,25,0,0,25,23,0,0,23,26,2,1,25,25,0,1,24,24,0,2,22,24,2,0,24,91.60%,94.79%
18_C TEJEDOR,EP N° 203,381,53,0,0,53,66,4,3,63,63,5,3,60,67,2,1,66,68,4,3,65,64,4,2,62,89.93%,95.15%
18_C TEJEDOR,EP N° 336,318,53,0,0,53,48,4,1,47,56,4,0,56,55,2,3,52,52,2,2,50,54,2,1,53,85.46%,85.47%
18_C TEJEDOR,EP N° 456,515,89,0,0,89,85,8,4,81,90,4,5,85,95,7,3,92,82,5,4,78,74,5,2,72,98.68%,81.99%
19_C DE ARECO,EP N° 503,212,34,0,0,34,36,1,2,34,35,1,2,33,38,0,3,35,37,3,0,37,32,3,0,32,94.85%,89.73%
19_C DE ARECO,EP N° 609,378,60,0,0,60,59,0,2,57,67,3,1,66,49,4,0,49,69,7,1,68,74,2,1,73,96.12%,80.62%
19_C DE ARECO,EP N° 798,291,53,0,0,53,41,1,3,38,48,3,3,45,48,3,1,47,52,2,1,51,49,5,1,48,93.50%,91.36%
19_C DE ARECO,EP N° 823,461,87,0,0,87,79,3,2,77,70,4,3,67,65,7,2,63,73,5,0,73,87,4,2,85,91.61%,80.82%
19_C DE ARECO,EP N° 956,203,33,0,0,33,30,2,0,30,36,1,1,35,35,3,1,34,33,2,0,33,36,0,1,35,86.59%,86.21%
19_C DE ARECO,EP N° 1003,338,66,0,0,66,59,3,2,57,53,3,1,52,48,5,2,46,47,4,4,43,65,6,0,65,93.91%,80.92%
19_C DE ARECO,EP N° 1123,451,86,0,0,86,75,4,2,73,69,2,2,67,76,2,2,74,78,8,3,75,67,4,0,67,93.91%,96.44%
20_DAIREAUX,EP N° 1256,438,82,0,0,82,76,6,1,75,63,0,1,62,74,3,2,72,69,2,2,67,74,3,3,71,94.13%,95.22%
20_DAIREAUX,EP N° 1356,210,40,0,0,40,28,1,1,27,36,2,2,34,34,4,1,33,34,1,1,33,38,3,2,36,90.24%,83.00%
20_DAIREAUX,EP N° 1423,75,10,0,0,10,11,2,0,11,13,0,0,13,14,0,0,14,13,0,0,13,14,3,0,14,94.64%,82.53%
20_DAIREAUX,EP N° 165,224,35,0,0,35,38,2,0,38,36,0,1,35,34,1,2,32,42,1,3,39,39,3,2,37,98.78%,85.19%
20_DAIREAUX,EP N° 223,217,38,0,0,38,41,2,1,40,33,2,1,32,39,3,2,37,30,1,0,30,36,0,1,35,88.78%,97.40%
20_DAIREAUX,EP N° 356,37,6,0,0,6,5,0,0,5,6,0,0,6,6,0,0,6,7,0,0,7,7,0,1,6,97.73%,93.00%
20_DAIREAUX,EP N° 156,89,16,0,0,16,15,0,1,14,15,0,1,14,14,2,0,14,15,1,1,14,14,1,0,14,89.00%,83.66%
21_CASTELLI,EP N° 200,215,39,0,0,39,25,2,2,23,46,6,1,45,36,2,3,33,36,1,0,36,33,3,2,31,85.87%,95.90%
21_CASTELLI,EP N° 359,363,72,0,0,72,44,3,3,41,67,5,3,64,64,5,0,64,60,5,1,59,56,2,4,52,85.12%,97.96%
21_CASTELLI,EP N° 156,415,69,0,0,69,70,5,1,69,69,5,3,66,74,7,2,72,70,2,2,68,63,3,0,63,89.88%,82.00%
22_COLON,EP N° 209,176,23,0,0,23,31,0,1,30,33,0,0,33,34,2,0,34,28,3,2,26,27,1,2,25,89.50%,88.58%
22_COLON,EP N° 359,324,49,0,0,49,58,3,2,56,59,1,3,56,36,2,1,35,59,1,2,57,63,5,3,60,92.74%,89.36%
22_COLON,EP N° 446,149,27,0,0,27,24,1,1,23,23,2,0,23,24,2,0,24,26,0,0,26,25,2,0,25,96.75%,80.07%
22_COLON,EP N° 553,360,55,0,0,55,57,3,1,56,59,5,1,58,63,3,4,59,63,3,5,58,63,4,1,62,93.86%,92.67%
22_COLON,EP N° 678,209,37,0,0,37,39,5,2,37,34,1,0,34,34,3,1,33,33,5,1,32,32,2,1,31,87.92%,86.64%
22_COLON,EP N° 701,217,34,0,0,34,33,3,2,31,41,1,2,39,39,1,2,37,34,2,0,34,36,3,0,36,94.03%,87.11%
22_COLON,EP N° 823,153,24,0,0,24,29,3,0,29,25,0,1,24,26,1,2,24,26,1,0,26,23,1,1,22,85.14%,88.35%
23_C DORREGO,EP N° 956,284,49,0,0,49,39,3,2,37,52,3,4,48,49,1,1,48,49,0,1,48,46,2,1,45,85.02%,85.40%
23_C DORREGO,EP N° 1023,444,77,0,0,77,76,7,0,76,77,6,2,75,78,4,1,77,75,6,2,73,61,1,4,57,98.20%,94.13%
23_C DORREGO,EP N° 1125,255,47,0,0,47,39,1,0,39,42,3,2,40,39,4,1,38,47,2,2,45,41,5,1,40,91.58%,96.02%
23_C DORREGO,EP N° 1285,125,19,0,0,19,20,0,0,20,17,0,2,15,25,1,0,25,24,0,0,24,20,2,0,20,92.65%,87.79%
24_C PRINGLES,EP N° 1326,97,16,0,0,16,16,3,0,16,18,3,3,15,13,0,0,13,17,0,1,16,17,2,0,17,91.68%,92.93%
24_C PRINGLES,EP N° 1423,276,49,0,0,49,38,3,0,38,54,3,0,54,47,0,1,46,39,2,2,37,49,4,0,49,91.00%,80.53%
24_C PRINGLES,EP N° 199,494,84,0,0,84,83,4,5,78,80,11,0,80,80,4,3,77,100,9,6,94,67,6,1,66,92.90%,86.45%
24_C PRINGLES,EP N° 203,384,56,0,0,56,71,2,4,67,66,2,0,66,58,1,1,57,62,7,2,60,71,4,2,69,92.23%,93.66%
24_C PRINGLES,EP N° 336,152,23,0,0,23,27,2,1,26,31,2,0,31,23,1,2,21,29,1,0,29,19,2,1,18,89.65%,92.49%
24_C PRINGLES,EP N° 456,290,52,0,0,52,56,2,3,53,38,2,0,38,50,1,2,48,45,6,0,45,49,2,1,48,88.23%,80.03%
24_C PRINGLES,EP N° 503,346,50,0,0,50,63,3,1,62,62,3,2,60,55,3,3,52,62,5,5,57,54,3,2,52,86.10%,89.80%
25_C SUAREZ,EP N° 609,475,66,0,0,66,78,6,2,76,79,4,3,76,60,5,0,60,91,5,5,86,101,8,4,97,95.00%,88.31%
25_C SUAREZ,EP N° 798,306,52,0,0,52,53,2,3,50,52,2,1,51,52,4,2,50,54,6,1,53,43,4,2,41,90.38%,80.45%
25_C SUAREZ,EP N° 823,220,31,0,0,31,36,3,2,34,40,0,1,39,38,3,2,36,40,2,1,39,35,1,2,33,87.20%,85.58%
25_C SUAREZ,EP N° 956,349,56,0,0,56,66,3,2,64,63,4,3,60,56,3,1,55,60,3,1,59,48,4,1,47,85.96%,94.11%
25_C SUAREZ,EP N° 1003,368,63,0,0,63,54,4,1,53,66,7,2,64,63,4,2,61,65,5,0,65,57,2,1,56,91.05%,97.65%
25_C SUAREZ,EP N° 1123,251,41,0,0,41,44,4,2,42,40,2,1,39,37,1,1,36,42,1,1,41,47,3,0,47,86.06%,97.13%
26_CHACABUCO,EP N° 1256,284,43,0,0,43,45,3,2,43,39,0,3,36,51,2,2,49,51,2,1,50,55,4,3,52,98.25%,81.91%
26_CHACABUCO,EP N° 1356,331,59,0,0,59,59,4,2,57,47,2,0,47,46,2,4,42,60,3,3,57,60,8,0,60,85.12%,87.80%
26_CHACABUCO,EP N° 1423,139,25,0,0,25,23,3,0,23,23,2,0,23,20,1,1,19,21,2,0,21,27,1,2,25,95.34%,80.25%
26_CHACABUCO,EP N° 165,167,27,0,0,27,26,0,1,25,27,2,1,26,27,4,2,25,30,3,2,28,30,1,1,29,95.40%,93.28%
27_CHASCOMUS,EP N° 223,386,54,0,0,54,60,3,4,56,67,3,1,66,77,7,3,74,58,4,1,57,70,5,2,68,91.20%,91.69%
27_CHASCOMUS,EP N° 356,216,38,0,0,38,33,1,1,32,34,0,1,33,32,2,0,32,41,1,0,41,38,4,2,36,86.55%,85.21%
27_CHASCOMUS,EP N° 156,282,45,0,0,45,46,3,1,45,43,4,2,41,43,2,3,40,51,2,1,50,54,6,3,51,86.44%,87.07%
27_CHASCOMUS,EP N° 200,313,66,0,0,66,51,4,3,48,47,5,2,45,61,2,2,59,42,1,2,40,46,1,0,46,95.06%,93.18%
27_CHASCOMUS,EP N° 359,213,34,0,0,34,40,0,0,40,36,0,0,36,33,2,1,32,33,1,3,30,37,3,1,36,90.82%,87.72%
27_CHASCOMUS,EP N° 156,476,86,0,0,86,74,4,2,72,88,8,3,85,72,5,1,71,83,4,1,82,73,4,4,69,87.86%,89.14%
28_CHIVILCOY,EP N° 209,373,56,0,0,56,58,5,0,58,77,5,3,74,51,2,0,51,60,5,3,57,71,6,2,69,89.67%,94.25%
28_CHIVILCOY,EP N° 359,107,18,0,0,18,17,1,1,16,18,2,0,18,20,3,0,20,13,1,0,13,21,1,4,17,92.83%,85.78%
28_CHIVILCOY,EP N° 446,191,33,0,0,33,30,1,0,30,33,3,1,32,26,2,0,26,38,2,0,38,31,3,2,29,92.68%,81.20%
28_CHIVILCOY,EP N° 553,362,64,0,0,64,59,5,2,57,60,2,2,58,64,2,1,63,59,6,3,56,56,4,2,54,97.45%,90.42%
28_CHIVILCOY,EP N° 678,301,45,0,0,45,54,3,2,52,46,2,0,46,47,1,1,46,52,2,0,52,57,4,1,56,96.51%,91.87%
28_CHIVILCOY,EP N° 701,193,35,0,0,35,27,4,1,26,35,1,0,35,34,1,1,33,28,1,1,27,34,3,0,34,86.24%,92.58%
28_CHIVILCOY,EP N° 823,319,50,0,0,50,44,0,0,44,60,1,2,58,47,2,3,44,55,6,6,49,63,6,3,60,88.49%,90.38%
29_DOLORES,EP N° 956,359,65,0,0,65,53,0,1,52,59,5,2,57,68,3,0,68,51,4,2,49,63,4,2,61,97.10%,90.56%
29_DOLORES,EP N° 1023,393,68,0,0,68,67,5,2,65,60,2,2,58,79,8,5,74,69,3,7,62,50,7,2,48,96.26%,92.87%
29_DOLORES,EP N° 1125,221,34,0,0,34,41,3,1,40,31,4,0,31,42,3,2,40,34,1,0,34,39,1,2,37,91.37%,92.02%
29_DOLORES,EP N° 1285,468,75,0,0,75,82,1,4,78,93,8,4,89,87,9,3,84,55,2,2,53,76,3,4,72,93.16%,90.67%
29_DOLORES,EP N° 1326,212,35,0,0,35,35,0,1,34,34,4,2,32,31,3,2,29,38,1,2,36,39,7,0,39,97.56%,91.21%
30_E ECHEVERRIA,EP N° 1423,190,32,0,0,32,34,3,0,34,30,5,2,28,32,3,3,29,32,0,0,32,30,1,1,29,88.76%,81.82%
30_E ECHEVERRIA,EP N° 199,236,38,0,0,38,39,1,2,37,42,2,1,41,37,1,1,36,38,3,0,38,42,1,1,41,97.11%,82.79%
30_E ECHEVERRIA,EP N° 203,189,33,0,0,33,30,1,1,29,32,2,1,31,35,1,1,34,33,0,1,32,26,1,2,24,85.80%,87.53%
31_E DE LA CRUZ,EP N° 336,516,76,0,0,76,97,8,5,92,87,4,3,84,77,3,2,75,88,7,2,86,91,5,4,87,90.70%,85.91%
31_E DE LA CRUZ,EP N° 456,288,52,0,0,52,42,1,0,42,54,3,2,52,52,2,2,50,51,1,2,49,37,1,0,37,88.06%,83.29%
